Country,Biome,Elevation,Vegetation,MAT,MAP,Soil_microbial_biomass_carbon,Soil_microbial_biomass_nitrogen,Soil_microbial_biomass_phosphorus,Soil_organic_carbon,Total_nitrogen,Total_organic_phosphorus,pH,Lower_depth,Method
Finland,Boreal Forest,,Norway spruce,,,604.67,93.93,,40833.33,1550,,4.67,,FE
Finland,Boreal Forest,,Norway spruce,,,524.67,70.07,,43916.67,1435.71,,4.38,,FE
Finland,Boreal Forest,,Norway spruce,,,503.17,58.07,,46583.33,1300,,3.9,,FE
Finland,Boreal Forest,,Norway spruce,,,469.75,64.86,,54166.67,1657.14,,4.25,,FE
Finland,Boreal Forest,,Birch woodland,,,966.67,,,40083.33,950,,4.09,,SIR
Finland,Boreal Forest,,Birch woodland,,,1008.33,,,39166.67,900,,4.14,,SIR
Finland,Boreal Forest,,Birch woodland,,,883.33,,,37916.67,907.14,,3.96,,SIR
Finland,Boreal Forest,,Birch woodland,,,966.67,,,36166.67,850,,3.95,,SIR
Finland,Boreal Forest,280,mixed forest,,,606.75,,,40500,792.86,,3.93,,FE
Finland,Boreal Forest,280,mixed forest,,,441.08,,,40416.67,821.43,,4.09,,FE
Finland,Boreal Forest,280,mixed forest,,,199.83,,,37416.67,885.71,,5.85,,FE
Finland,Boreal Forest,,brich,,,1233.33,114.29,,50000,1428.57,,4.3,2.8,FE
Finland,Boreal Forest,,spruce,,,966.67,87.14,,46583.33,1214.29,,4,2.7,FE
Finland,Boreal Forest,,pine,,,850,71.43,,47500,1071.43,,4,2.3,FE
Finland,Boreal Forest,,,,,,35.85,,,1300,,,5,FE
Finland,Boreal Forest,,,,,,24.99,,,1235.71,,,5,FE
Finland,Boreal Forest,,,,,,58.61,,,1428.57,,,5,FE
Finland,Boreal Forest,,,,,,35.45,,,1442.86,,,5,FE
Finland,Boreal Forest,,"Cladina lichens, and pine pinus sylvestris L.",,,,22.8,,,,,,,FE
Finland,Boreal Forest,,"Cladina lichens, and pine pinus sylvestris L.",,,,27.26,,,,,,,FE
Finland,Boreal Forest,,"Cladina lichens, and pine pinus sylvestris L.",,,,30.09,,,,,,,FE
Finland,Boreal Forest,,"Cladina lichens, and pine pinus sylvestris L.",,,,2.88,,,,,,,FE
Finland,Boreal Forest,,"Cladina lichens, and pine pinus sylvestris L.",,,,15.23,,,,,,,FE
Finland,Boreal Forest,,"Cladina lichens, and pine pinus sylvestris L.",,,,23.26,,,,,,,FE
Finland,Boreal Forest,,"Cladina lichens, and pine pinus sylvestris L.",,,,28.84,,,,,,,FE
Finland,Boreal Forest,,"Cladina lichens, and pine pinus sylvestris L.",,,,24.47,,,,,,,FE
Finland,Boreal Forest,,"Cladina lichens, and pine pinus sylvestris L.",,,,0.99,,,,,,,FE
Finland,Boreal Forest,,"Cladina lichens, and pine pinus sylvestris L.",,,,23.59,,,,,,,FE
Finland,Boreal Forest,,Pine or spruce Picea abies Karst.,,,,34.44,,,,,,,FE
Finland,Boreal Forest,,Pine or spruce Picea abies Karst.,,,,14.69,,,,,,,FE
Finland,Boreal Forest,,Pine or spruce Picea abies Karst.,,,,8.01,,,,,,,FE
Finland,Boreal Forest,,Pine or spruce Picea abies Karst.,,,,9.04,,,,,,,FE
Finland,Boreal Forest,,Pine or spruce Picea abies Karst.,,,,28.81,,,,,,,FE
Finland,Boreal Forest,,Pine or spruce Picea abies Karst.,,,,89.79,,,,,,,FE
Finland,Boreal Forest,,Pine or spruce Picea abies Karst.,,,,13.37,,,,,,,FE
Finland,Boreal Forest,,Pine or spruce Picea abies Karst.,,,,4.32,,,,,,,FE
Finland,Boreal Forest,,Pine or spruce Picea abies Karst.,,,,16.04,,,,,,,FE
Finland,Boreal Forest,,Pine or spruce Picea abies Karst.,,,,22.06,,,,,,,FE
Germany,Boreal Forest,500,Picea abies,6.4,1088,171.67,,,36750,1071.43,19.35,4.6,,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,23,Pinus sylvestris,13.3,750,3.08,,,583.33,35.71,2.9,4.2,,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,161.46,30.13,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,200.52,27.9,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,194.01,30.13,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,186.2,30.13,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,214.84,27.9,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,192.71,18.97,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,158.85,18.97,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,157.55,21.21,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,217.45,27.9,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,169.27,24.55,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,123.7,20.09,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,118.49,22.32,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,119.79,18.97,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,170.57,24.55,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,3.46,0.5,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,4.51,0.5,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,4.1,0.35,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,3.57,0.6,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,4.34,0.7,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,4.22,0.6,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,4.57,0.2,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,4.4,0.45,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,3.69,0.35,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,3.75,0.35,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,3.63,0.6,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,3.98,0.5,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,3.98,0.55,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Netherlands,Boreal Forest,,,,,3.98,0.5,,,,,,20,"SIR for soil microbial biomass C, FE for soil microbial biomass N"
Russia,Boreal Forest,,"Picea obovata, Larix sibirica, Equisetum pratense, Rubus arcticus, Hylocomium proliferum, Cladonia sp.",,,,,,1958.333333,92.73875296,,3.76,10,FE
Russia,Boreal Forest,,"Picea obovata, Pinus sibirica, Equisetum sylvaticum, Rubus chamaemorus, Hylocomium proliferum, Sphagnum sp.",,,,,,1600,57.14285714,,4.42,10,FE
Russia,Boreal Forest,,"Pinus sibirica, Picea obovata, Equisetum sp., Linnaea borealis, Maja themum, bifolium, Trientalis europea, Vaccinium vitis idaea, Pyrola rotundifolia, Hylocomium proliferum",,,,,,1816.666667,78.64357864,,4.37,10,FE
Russia,Boreal Forest,,Bilberry spruce-pine forest,,,36.58333333,,,900,,,4.2,10,SIR
Russia,Boreal Forest,,Green moss pine forest,,,21.41666667,,,458.3333333,,,4.4,10,SIR
Russia,Boreal Forest,,Bilberry spruce forest,,,63.25,,,1116.666667,,,4.34,12,SIR
Russia,Boreal Forest,,Lime-spruce forest,,,62.91666667,,,2100,,,4.3,14,SIR
Russia,Boreal Forest,,Bilberry spruce forest,,,41.41666667,,,1200,,,4.9,16,SIR
Russia,Boreal Forest,,Spruce-small-leaved forest,,,59.41666667,,,1583.333333,,,4.43,10,SIR
Russia,Boreal Forest,,Fern pine-forest,,,10.41666667,,,1283.333333,,,4.01,10,SIR
Russia,Boreal Forest,,Bilberry spruce forest,,,41.08333333,,,4375,,,3.95,12,SIR
Russia,Boreal Forest,,Yellow archangel exalis spruce forest,,,211.5833333,,,8958.333333,,,4.36,11,SIR
Russia,Boreal Forest,,Yellow archangel pine forest,,,34.41666667,,,1408.333333,,,5.18,10,SIR
Russia,Boreal Forest,,Cowberry-bilberry pine forest,,,65.16666667,,,2375,,,5.11,15,SIR
Russia,Boreal Forest,,Spruce -broadleaf forest,,,130.6666667,,,1316.666667,,,6.75,6,SIR
Russia,Boreal Forest,,Green moss spruce forest,,,114.1666667,,,2066.666667,,,5.63,16,SIR
Russia in Europe,Boreal Forest,195,Young forest,,,20.42,,,1041.67,,,4.69,13,SIR
Russia in Europe,Boreal Forest,195,young forest,,,9.17,,,691.67,,,4.67,25,SIR
Russia in Europe,Boreal Forest,192,Young forest,,,41.83,,,2041.67,,,4.53,14,SIR
Russia in Europe,Boreal Forest,192,Young forest,,,20.92,,,1175,,,4.57,16,SIR
Russia in Europe,Boreal Forest,192,Secondary forest,,,63.25,,,1116.67,,,4.34,12,SIR
Russia in Europe,Boreal Forest,192,Secondary forest,,,17.83,,,558.33,,,4.51,19,SIR
Russia in Europe,Boreal Forest,154,Mature forest,,,62.92,,,2100,,,4.3,14,SIR
Russia in Europe,Boreal Forest,154,mature forest,,,30.75,,,1558.33,,,4.3,22,SIR
Russia in Europe,Boreal Forest,183,Spruce forest,,,212.08,,,2916.67,,,5.75,5,SIR
Russia in Europe,Boreal Forest,183,Spruce forest,,,16.25,,,1216.67,,,5.5,16,SIR
Sweden,Boreal Forest,,"Pinus sylvestris, Picea abies",-0.5,750,335.1,40.1,10.6,43045,914,28.1,,10,FE
Sweden,Boreal Forest,,"Pinus sylvestris, Picea abies",-0.5,750,309,38.3,17.6,42712,1042,31.3,,10,FE
Sweden,Boreal Forest,,"Pinus sylvestris, Picea abies",-0.5,750,298.2,32.9,9.6,42795,1135,29.4,,10,FE
Sweden,Boreal Forest,430,Birch,-0.5,315,,60.71428571,14.19354839,,,,,5,FE
Sweden,Boreal Forest,430,Birch,-0.5,315,,53.57142857,11.93548387,,,,,5,FE
Sweden,Boreal Forest,430,Birch,-0.5,315,,34.28571429,12.25806452,,,,,5,FE
Sweden,Boreal Forest,430,Birch,-0.5,315,,32.85714286,9.35483871,,,,,5,FE
Sweden,Boreal Forest,430,Birch,-0.5,315,,48.57142857,11.93548387,,,,,5,FE
Sweden,Boreal Forest,430,Birch,-0.5,315,,47.85714286,9.032258065,,,,,5,FE
Sweden,Boreal Forest,430,Birch,-0.5,315,,53.57142857,11.61290323,,,,,5,FE
Sweden,Boreal Forest,430,Birch,-0.5,315,,50.71428571,8.709677419,,,,,5,FE
Sweden,Boreal Forest,430,Birch,-0.5,315,,48.57142857,10,,,,,5,FE
Sweden,Boreal Forest,430,Birch,-0.5,315,,65,12.58064516,,,,,5,FE
Sweden,Boreal Forest,430,Birch,-0.5,315,,39.28571429,11.29032258,,,,,5,FE
Sweden,Boreal Forest,430,Birch,-0.5,315,,40,12.25806452,,,,,5,FE
Australia,Cropland,,,,,36.33,,,1000,,,,10,FE
Australia,Cropland,,,,,22.67,,,1666.67,,,,10,FE
Australia,Cropland,,,,,19.5,,,4666.67,,,,10,FE
Australia,Cropland,,,,,18,,,1000,,,,10,FE
Australia,Cropland,,,,,38.42,,,2833.33,,,,10,FE
Australia,Cropland,,,,,46.42,,,1500,,,,10,FE
Australia,Cropland,,,,685,,4.59,,1458.33,94.29,,7.88,10,FI
Australia,Cropland,,,,685,,4.79,,1475,100.71,,7.72,10,FI
Australia,Cropland,,,,685,,4.66,,1475,102.86,,7.6,10,FI
Australia,Cropland,,,,685,,5.18,,1441.67,93.57,,7.69,2.5,FI
Australia,Cropland,,,,685,,5.18,,1450,100.71,,7.44,2.5,FI
Australia,Cropland,,,,685,,5.66,,1550,103.57,,7.32,2.5,FI
Australia,Cropland,,,,685,,4.11,,1375,92.14,,7.81,5,FI
Australia,Cropland,,,,685,,4.1,,1391.67,93.57,,7.48,5,FI
Australia,Cropland,,,,685,,4.49,,1475,105.71,,7.29,5,FI
Australia,Cropland,,,,685,,3.29,,1350,92.86,,8.14,10,FI
Australia,Cropland,,,,685,,3.19,,1325,92.86,,7.72,10,FI
Australia,Cropland,,,,685,,3.72,,1425,95,,7.6,10,FI
Australia,Cropland,,,,685,,5.61,,1466.67,95.71,,7.87,10,FI
Australia,Cropland,,,,685,,5.79,,1491.67,102.86,,7.56,10,FI
Australia,Cropland,,,,685,,6.51,,1558.33,106.43,,7.25,10,FI
Australia,Cropland,,,,685,,6.36,,1525,112.86,,7.29,2.5,FI
Australia,Cropland,,,,685,,6.78,,1650,115,,7.11,2.5,FI
Australia,Cropland,,,,685,,6.66,,1608.33,109.29,,7.06,2.5,FI
Australia,Cropland,,,,685,,4.32,,1500,101.43,,7.29,5,FI
Australia,Cropland,,,,685,,5.06,,1583.33,107.86,,6.97,5,FI
Australia,Cropland,,,,685,,4.61,,1583.33,109.29,,6.89,5,FI
Australia,Cropland,,,,685,,3.53,,1433.33,100,,7.5,10,FI
Australia,Cropland,,,,685,,3.5,,1400,98.57,,7.24,10,FI
Australia,Cropland,,,,685,,3.43,,1450,103.57,,7.02,10,FI
Australia,Cropland,,Wheat,14.5,589.6,16.33,2.63,,883.33,68.57,,,2.5,FI
Australia,Cropland,,Wheat,14.5,589.6,8.42,1.34,,716.67,57.86,,,7.5,FI
Australia,Cropland,,Wheat,14.5,589.6,4.08,0.53,,450,36.43,,,25,FI
Australia,Cropland,,Wheat,14.5,589.6,22.08,3.42,,958.33,72.14,,,2.5,FI
Australia,Cropland,,Wheat,14.5,589.6,8,1.27,,691.67,53.57,,,7.5,FI
Australia,Cropland,,Wheat,14.5,589.6,4.17,0.49,,433.33,35,,,25,FI
Australia,Cropland,,Wheat,14.5,589.6,23.33,3.31,,991.67,74.29,,,2.5,FI
Australia,Cropland,,Wheat,14.5,589.6,7.17,1.23,,700,55,,,7.5,FI
Australia,Cropland,,Wheat,14.5,589.6,3.83,0.56,,416.67,34.29,,,25,FI
Australia,Cropland,,Northfield Australia (arable),,,60.83,9.7,,1600,120.71,,7.9,10,FE
Australia,Cropland,,Cultivated wheat-pasture,,,,,0.83,1250,121.43,,8.3,,FI
Australia,Cropland,140,avocado orchard,18.5,1867,180.58,,,7350,685.71,,,2,FE
Australia,Cropland,140,avocado orchard,18.5,1867,85.08,,,4066.67,371.43,,,10,FE
Australia,Cropland,140,avocado orchard,18.5,1867,168.58,,,7025,707.14,,,2,FE
Australia,Cropland,140,avocado orchard,18.5,1867,119.08,,,4475,435.71,,,10,FE
Australia,Cropland,140,avocado orchard,18.5,1867,218.08,,,5616.67,514.29,,,2,FE
Australia,Cropland,140,avocado orchard,18.5,1867,202,,,4108.33,400,,,10,FE
Australia,Cropland,,wheat,,,8.75,1.2,,875,57.14,,,10,FE
Australia,Cropland,,wheat,,,3,0.39,,600,35.71,,,20,FE
Australia,Cropland,,wheat,,,2.39,0.43,,341.67,21.43,,,30,FE
Australia,Cropland,,,,,14.18,,,988.33,107.14,,,10,SIR
Australia,Cropland,,,,,11.33,,,913.33,107.14,,,20,SIR
Australia,Cropland,,,,,8.63,,,908.33,107.14,,,30,SIR
Australia,Cropland,,,20.3,1868,22.75,2.79,0.22,1033.33,72.86,11.13,,10,FI
Australia,Cropland,,,20.3,1868,26.25,3.43,0.32,1116.67,79.29,11.42,,10,FI
Australia,Cropland,,,20.3,1868,26.08,2.64,0.2,1033.33,79.29,10.94,,10,FI
Australia,Cropland,,,20.3,1868,28.92,3.29,0.31,1150,82.14,11.77,,10,FI
Australia,Cropland,,continuous wheat,,,26.58,3.57,,441.67,25,,5.16,10,FI and FE
Australia,Cropland,,wheat/clover  rotation,,,20.92,2.64,,883.33,77.86,,5.77,10,FI and FE
Australia,Cropland,,continuous wheat,,,15.17,1.86,,633.33,47.86,,6.22,10,FI and FE
Australia,Cropland,,wheat/lupin rotation,,,7.92,1,,691.67,38.57,,4.76,10,FI and FE
Australia,Cropland,,wheatstubble burnt,,,6.75,0.86,,525,32.86,,6.07,10,FI and FE
Australia,Cropland,,wheat stubble retained,,,6.58,0.79,,716.67,45,,6.93,10,FI and FE
Australia,Cropland,,wheatstubble burnt,,,4.17,0.5,,541.67,23.57,,4.72,10,FI and FE
Australia,Cropland,,wheat stubble retained,,,8,1,,691.67,32.86,,4.7,10,FI and FE
Australia,Cropland,,wheat/lupin rotation,,,8.92,0.93,,516.67,37.14,,8.05,10,FI and FE
Australia,Cropland,,Wheat crop (seedling stage),,,81.17,,,,,,,2.5,FI
Australia,Cropland,,Wheat crop (seedling stage),,,27.17,,,,,,,7.5,FI
Australia,Cropland,,Wheat crop (seedling stage),,,56.5,,,,,,,2.5,FI
Australia,Cropland,,Wheat crop (seedling stage),,,23.17,,,,,,,7.5,FI
Australia,Cropland,,Wheat crop (late ripening stage),,,60.58,,,,,,,2.5,FI
Australia,Cropland,,Wheat crop (late ripening stage),,,20.58,,,,,,,7.5,FI
Australia,Cropland,,Wheat crop (late ripening stage),,,44.58,,,,,,,2.5,FI
Australia,Cropland,,Wheat crop (late ripening stage),,,19.25,,,,,,,7.5,FI
Australia,Cropland,,Wheat stubble,,,55.25,,,,,,,2.5,FI
Australia,Cropland,,Wheat stubble,,,18.75,,,,,,,7.5,FI
Australia,Cropland,,Wheat stubble,,,43.17,,,,,,,2.5,FI
Australia,Cropland,,Wheat stubble,,,20.75,,,,,,,7.5,FI
Australia,Cropland,,Wheat stubble,,,51.33,,,,,,,2.5,FI
Australia,Cropland,,Wheat stubble,,,19.42,,,,,,,7.5,FI
Austria,Cropland,,,9.3,519,,2.51,,1316.67,108.57,,7.65,10,FE
Austria,Cropland,,,9.3,519,,2.41,,1341.67,107.86,,7.65,30,FE
Austria,Cropland,,,9.3,519,,3.66,,1383.33,107.14,,7.65,10,FE
Austria,Cropland,,,9.3,519,,1.57,,1350,102.14,,7.65,30,FE
Austria,Cropland,,,9.3,519,,3.81,,1466.67,122.14,,7.65,10,FE
Austria,Cropland,,,9.3,519,,1.93,,1408.33,107.86,,7.65,30,FE
Austria,Cropland,,,9.3,519,,0.24,,283.33,17.14,,7.65,10,FE
Austria,Cropland,,,9.3,519,,0.53,,658.33,28.57,,7.65,30,FE
Austria,Cropland,,,9.3,519,,2.06,,575,25.71,,7.65,10,FE
Austria,Cropland,,,9.3,519,,0.13,,258.33,14.29,,7.65,30,FE
Austria,Cropland,,,9.3,519,,0.96,,475,34.29,,7.65,10,FE
Austria,Cropland,,,9.3,519,,0.24,,208.33,12.86,,7.65,30,FE
Austria,Cropland,,,9.3,519,,0.33,,300,22.14,,7.65,10,FE
Austria,Cropland,,,9.3,519,,0.35,,300,22.86,,7.65,30,FE
Austria,Cropland,,,9.3,519,,0.83,,200,15,,7.65,10,FE
Austria,Cropland,,,9.3,519,,0.14,,175,12.86,,7.65,30,FE
Austria,Cropland,,,9.3,519,,0.56,,300,25,,7.65,10,FE
Austria,Cropland,,,9.3,519,,0.11,,208.33,14.29,,7.65,30,FE
Austria,Cropland,,,9.3,519,,2.18,,1166.67,100.71,,7.65,10,FE
Austria,Cropland,,,9.3,519,,1.74,,1116.67,95,,7.65,30,FE
Austria,Cropland,,,9.3,519,,2.78,,1175,94.29,,7.65,10,FE
Austria,Cropland,,,9.3,519,,1.07,,1083.33,91.43,,7.65,30,FE
Austria,Cropland,,,9.3,519,,2.56,,1100,93.57,,7.65,10,FE
Austria,Cropland,,,9.3,519,,1.33,,1058.33,81.43,,7.65,30,FE
Austria,Cropland,,,9.3,519,,8.39,,3925,350.71,,7.65,10,FE
Austria,Cropland,,,9.3,519,,7.09,,3775,344.29,,7.65,30,FE
Austria,Cropland,,,9.3,519,,9.73,,4158.33,375.71,,7.65,10,FE
Austria,Cropland,,,9.3,519,,5.31,,3766.67,341.43,,7.65,30,FE
Austria,Cropland,,,9.3,519,,11.59,,4225,385,,7.65,10,FE
Austria,Cropland,,,9.3,519,,6.73,,4016.67,354.29,,7.65,30,FE
Bangladesh,Cropland,,NT-Shorea robusta,,,22.58,,,808.33,,,4.9,,Microwaved soil extraction
Bangladesh,Cropland,,NT-Acaca auriculiformis,,,25.04,,,608.33,,,5.1,,Microwaved soil extraction
Bangladesh,Cropland,,NT-Acacia minjiri,,,31.27,,,1516.67,,,4.8,,Microwaved soil extraction
Bangladesh,Cropland,,NT-Tektona grandis,,,10,,,325,,,5,,Microwaved soil extraction
Bangladesh,Cropland,,CT-Sugarcane,,,26.88,,,600,,,5.2,,Microwaved soil extraction
Bangladesh,Cropland,,CT-Jute/rice/mustard,,,16.2,,,625,,,6,,Microwaved soil extraction
Bangladesh,Cropland,,NT-Shorea robuste,,,20.66,,,583.33,,,4.9,,Microwaved soil extraction
Bangladesh,Cropland,,CT-Rice/jute,,,14.42,,,1750,,,4.8,,Microwaved soil extraction
Bangladesh,Cropland,,CT-Cotton,,,15,,,1233.33,,,5.3,,Microwaved soil extraction
Bangladesh,Cropland,,NT-Mullacana brucifera,,,34.95,,,1625,,,5.7,,Microwaved soil extraction
Bangladesh,Cropland,,CT-Rice/jute/maize,,,5.19,,,383.33,,,6.2,,Microwaved soil extraction
Bangladesh,Cropland,,CT-Pasture,,,34.4,,,950,,,5.6,,Microwaved soil extraction
Bangladesh,Cropland,,NT-Imperata cylindrica,,,31.28,,,1150,,,5.5,,Microwaved soil extraction
Bangladesh,Cropland,,CT-Rice'jute/vegetables,,,29.98,,,800,,,6.2,,Microwaved soil extraction
Bangladesh,Cropland,,NT-Mullacana brucifera,,,22.86,,,1258.33,,,5.7,,Microwaved soil extraction
Bangladesh,Cropland,,cultivated land,26,1800,13.01,,,616.67,57.86,,5.3,15,FI
Belgium,Cropland,,arable,,,48.58,,,991.67,122.86,,7.8,30,SIR
Belgium,Cropland,,arable,,,21,,,833.33,101.43,,6.2,30,SIR
Belgium,Cropland,,barley,,,52.42,,,1016.67,113.57,,7.8,30,SIR
Belgium,Cropland,,arable,,,21,,,708.33,67.14,,6,30,SIR
Belgium,Cropland,,arable,,,21.92,,,600,42.86,,7,30,SIR
Belgium,Cropland,,arable,,,18.08,,,641.67,34.29,,5.5,30,SIR
Belgium,Cropland,,arable,,,245.92,,,1983.33,180.71,,7.9,30,SIR
Belgium,Cropland,,arable,,,114.92,,,816.67,81.43,,8.2,30,SIR
Belgium,Cropland,,arable,,,60.08,,,1333.33,100.71,,6.5,30,SIR
Belgium,Cropland,,,,,61.75,,,3166.67,278.57,,6.9,10,FI
Belgium,Cropland,,,,,11.83,,,1250,85.71,,5.2,10,FI
Belgium,Cropland,,,,,63,,,3833.33,276.43,,,10,FE
Belgium,Cropland,,,,,8.33,,,633.33,32.14,,,10,FE
Belgium,Cropland,,,,,18.25,,,1400,86.43,,,10,FE
Belgium,Cropland,,,,,4.75,,,266.67,20,,,10,FE
Belgium,Cropland,,,,,23.58,,,1033.33,82.86,,,10,FE
Belgium,Cropland,,,,,10.67,,,308.33,27.14,,,10,FE
Belgium,Cropland,,,,,40.08,,,3700,268.57,,,10,FE
Belgium,Cropland,,,,,7.58,,,650,37.14,,,10,FE
Belgium,Cropland,,,,,17.75,,,1708.33,110,,,10,FE
Belgium,Cropland,,,,,5.33,,,325,26.43,,,10,FE
Belgium,Cropland,,,,,13.08,,,825,65.71,,,10,FE
Belgium,Cropland,,,,,4.83,,,108.33,10.71,,,10,FE
Brazil,Cropland,46,oarchard,30,1000,5.33,,,966.67,,,,10,irridiation and incubation
Brazil,Cropland,46,oarchard,30,1000,8.09,,,1041.67,,,,10,irridiation and incubation
